ID,utterance,charlie,morgane,list-ID,child,age,file,similar,different
8,alors aujourd'hui on est le on est le combien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]","[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]",2,Anae,4,040012,"PAR-Initiation:Information-seeking:fact-based  , CHI-Response:No-response , NULL",
9,on est le six août deux mille dix ... [media],"[PAR-Follow-up:Give-response,NULL,NULL]","[PAR-Follow-up:Give-response,NULL,NULL]",2,Anae,4,040012,"PAR-Follow-up:Give-response , NULL",
10,[quote] et tu as quatre ans et quinze jours . [media],"[PAR-Follow-up:Add-info,NULL,NULL]","[PAR-Follow-up:Add-info,NULL,NULL]",2,Anae,4,040012,"PAR-Follow-up:Add-info , NULL",
11,tu as eu quatre ans hein ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2,Anae,4,040012,"PAR-Follow-up:Followup-question , PAR-Initiation:Information-seeking:fact-based  , NULL",
12,yyy . [media],"[CHI-Response:No-label,NULL,NULL]","[CHI-Response:No-label,NULL,NULL]",2,Anae,4,040012,"CHI-Response:No-label , NULL",
13,ouais ?,"[PAR-Follow-up:Followup-question,PAR-Initiation:Non-Information-seeking,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Non-Information-seeking,NULL]",2,Anae,4,040012,"PAR-Follow-up:Followup-question , PAR-Initiation:Non-Information-seeking , NULL",
20,alors Anaé qu'est-ce que tu me racontes ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2,Anae,4,040012,"PAR-Initiation:Information-seeking:fact-based  , NULL",
21,euh je je te raconte euh ... [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Non-answer:declarative,NULL,NULL]",2,Anae,4,040012,NULL,"CHI-Response:Answer:no-explanation-needed , CHI-Response:Non-answer:declarative"
22,est-ce que tu veux me raconter ton anniversaire ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2,Anae,4,040012,"PAR-Follow-up:Followup-question , PAR-Initiation:Information-seeking:fact-based  , NULL",
23,non . [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2,Anae,4,040012,"CHI-Response:Answer:no-explanation-needed , NULL",
24,non ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Non-Information-seeking,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2,Anae,4,040012,"PAR-Follow-up:Followup-question , NULL","PAR-Initiation:Non-Information-seeking , PAR-Initiation:Information-seeking:fact-based "
25,t étais à mon anniversaire alors tu m'as vue . [media],"[NULL,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2,Anae,4,040012,NULL,CHI-Response:Answer:no-explanation-needed
26,0. . [media],"[NULL,NULL,NULL]","[PAR-Follow-up:other,NULL,NULL]",2,Anae,4,040012,NULL,PAR-Follow-up:other
27,tu as eu tu as eu quel âge ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2,Anae,4,040012,"PAR-Initiation:Information-seeking:fact-based  , NULL",PAR-Follow-up:Followup-question
28,[quote] alors les dinosaures .,"[CHI-Response:Non-answer:declarative,NULL,NULL]","[NULL,NULL,NULL]",2,Anae,4,040012,NULL,CHI-Response:Non-answer:declarative
