ID,utterance,annotation-charlie,annotation-morgane,list-ID
2,non ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
2,non ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
3,si ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
3,si ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
4,allez ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
4,allez ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
5,hop là attends oui mais ça braque pas génial ça ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
5,hop là attends oui mais ça braque pas génial ça ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
6,t'es plus à l'aise sur ta voiture ça braque mieux ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
6,t'es plus à l'aise sur ta voiture ça braque mieux ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
7,allez vas_y avance ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
7,allez vas_y avance ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
8,ouais c'est bien mon bonhomme ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
8,ouais c'est bien mon bonhomme ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
9,xxx t'arrives à faire du tricycle ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
9,xxx t'arrives à faire du tricycle ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
10,va tu la tu le gardes le tricycle ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
10,va tu la tu le gardes le tricycle ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
11,non ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
11,non ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
12,si ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
12,si ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
13,vas_y allez avance ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
