ID,Speaker,utterance,annotation,list-ID
6,CHI,yyy \<None\> \<None\> me filmer avec des livres . [media],"[NULL,NULL,NULL]",1
6,CHI,yyy \<None\> \<None\> me filmer avec des livres . [media],"[NULL,NULL,NULL]",2
7,MOT,ouais si tu veux . [media],"[NULL,NULL,NULL]",1
7,MOT,ouais si tu veux . [media],"[NULL,NULL,NULL]",2
8,MOT,alors aujourd'hui on est le on est le combien ? [media],"[NULL,NULL,NULL]",1
8,MOT,alors aujourd'hui on est le on est le combien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]",2
9,MOT,on est le six août deux mille dix ... [media],"[NULL,NULL,NULL]",1
9,MOT,on est le six août deux mille dix ... [media],"[PAR-Follow-up:Give-response,NULL,NULL]",2
10,MOT,[quote] et tu as quatre ans et quinze jours . [media],"[NULL,NULL,NULL]",1
10,MOT,[quote] et tu as quatre ans et quinze jours . [media],"[PAR-Follow-up:Add-info,NULL,NULL]",2
11,MOT,tu as eu quatre ans hein ? [media],"[NULL,NULL,NULL]",1
11,MOT,tu as eu quatre ans hein ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2
12,CHI,yyy . [media],"[NULL,NULL,NULL]",1
12,CHI,yyy . [media],"[CHI-Response:No-label,NULL,NULL]",2
13,MOT,ouais ?,"[NULL,NULL,NULL]",1
13,MOT,ouais ?,"[PAR-Follow-up:Followup-question,PAR-Initiation:Non-Information-seeking,NULL]",2
14,BR1,[quote] maman ?,"[NULL,NULL,NULL]",1
14,BR1,[quote] maman ?,"[NULL,NULL,NULL]",2
15,MOT,oui ? [media],"[NULL,NULL,NULL]",1
15,MOT,oui ? [media],"[NULL,NULL,NULL]",2
16,BR1,là-bas . comme si vous emm ordinateur on pourra regarder un film ! [media],"[NULL,NULL,NULL]",1
16,BR1,là-bas . comme si vous emm ordinateur on pourra regarder un film ! [media],"[NULL,NULL,NULL]",2
17,MOT,oui ! [media],"[NULL,NULL,NULL]",1
17,MOT,oui ! [media],"[NULL,NULL,NULL]",2
18,BR1,donc on peut emmener des films ! [media],"[NULL,NULL,NULL]",1
18,BR1,donc on peut emmener des films ! [media],"[NULL,NULL,NULL]",2
19,MOT,oui ! [media],"[NULL,NULL,NULL]",1
19,MOT,oui ! [media],"[NULL,NULL,NULL]",2
20,MOT,alors Anaé qu'est-ce que tu me racontes ? [media],"[NULL,NULL,NULL]",1
20,MOT,alors Anaé qu'est-ce que tu me racontes ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
21,CHI,euh je je te raconte euh ... [media],"[NULL,NULL,NULL]",1
21,CHI,euh je je te raconte euh ... [media],"[CHI-Response:Non-answer:declarative,NULL,NULL]",2
22,MOT,est-ce que tu veux me raconter ton anniversaire ? [media],"[NULL,NULL,NULL]",1
22,MOT,est-ce que tu veux me raconter ton anniversaire ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2
23,CHI,non . [media],"[NULL,NULL,NULL]",1
23,CHI,non . [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
24,MOT,non ? [media],"[NULL,NULL,NULL]",1
24,MOT,non ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Non-Information-seeking,NULL]",2
25,CHI,t étais à mon anniversaire alors tu m'as vue . [media],"[NULL,NULL,NULL]",1
25,CHI,t étais à mon anniversaire alors tu m'as vue . [media],"[NULL,NULL,NULL]",2
26,MOT,0. . [media],"[NULL,NULL,NULL]",1
26,MOT,0. . [media],"[NULL,NULL,NULL]",2
27,MOT,tu as eu tu as eu quel âge ? [media],"[NULL,NULL,NULL]",1
27,MOT,tu as eu tu as eu quel âge ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
28,CHI,[quote] alors les dinosaures .,"[NULL,NULL,NULL]",1
28,CHI,[quote] alors les dinosaures .,"[NULL,NULL,NULL]",2
29,CHI,quatre ans ! [media],"[NULL,NULL,NULL]",1
29,CHI,quatre ans ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
30,MOT,oh tu es grande ! [media],"[NULL,NULL,NULL]",1
30,MOT,oh tu es grande ! [media],"[PAR-Follow-up:Add-info,NULL,NULL]",2
31,CHI,[quote] 0. .,"[NULL,NULL,NULL]",1
31,CHI,[quote] 0. .,"[NULL,NULL,NULL]",2
32,CHI,je je vais te lire les dinosaures . [media],"[NULL,NULL,NULL]",1
32,CHI,je je vais te lire les dinosaures . [media],"[NULL,NULL,NULL]",2
33,MOT,d'accord . [media],"[NULL,NULL,NULL]",1
33,MOT,d'accord . [media],"[NULL,NULL,NULL]",2
34,CHI,les dinosaures sont très longs . [media],"[NULL,NULL,NULL]",1
34,CHI,les dinosaures sont très longs . [media],"[NULL,NULL,NULL]",2
35,CHI,une patte de dinosaure se fait avec des traces de dinosaures . [media],"[NULL,NULL,NULL]",1
35,CHI,une patte de dinosaure se fait avec des traces de dinosaures . [media],"[NULL,NULL,NULL]",2
36,CHI,0. . [media],"[NULL,NULL,NULL]",1
36,CHI,0. . [media],"[NULL,NULL,NULL]",2
37,CHI,et les dinosaures qui ont disparu a perdu une dent \<None\> \<None\> et ce oeuf \<None\> \<None\> avec ce le \<self interruption\> [media],"[NULL,NULL,NULL]",1
37,CHI,et les dinosaures qui ont disparu a perdu une dent \<None\> \<None\> et ce oeuf \<None\> \<None\> avec ce le \<self interruption\> [media],"[NULL,NULL,NULL]",2
38,CHI,ça c'est un oeuf de de de de dinosaure . [media],"[NULL,NULL,NULL]",1
38,CHI,ça c'est un oeuf de de de de dinosaure . [media],"[NULL,NULL,NULL]",2
39,CHI,et ça c'est des yyy dinosaures zzz . [media],"[NULL,NULL,NULL]",1
39,CHI,et ça c'est des yyy dinosaures zzz . [media],"[NULL,NULL,NULL]",2
40,MOT,des dinosaures quoi ? [media],"[NULL,NULL,NULL]",1
40,MOT,des dinosaures quoi ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
41,CHI,des dinosaures euh fabule . [media],"[NULL,NULL,NULL]",1
41,CHI,des dinosaures euh fabule . [media],"[CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:non-verbal,NULL]",2
42,MOT,fabule ? [media],"[NULL,NULL,NULL]",1
42,MOT,fabule ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2
43,CHI,oui et ça c'est des dinosaures très dang ! [media],"[NULL,NULL,NULL]",1
43,CHI,oui et ça c'est des dinosaures très dang ! [media],"[CHI-Response:Answer:no-explanation-needed,CHI-Response:Answer:non-verbal,NULL]",2
44,CHI,alors faisez attention les amis ! [media],"[NULL,NULL,NULL]",1
44,CHI,alors faisez attention les amis ! [media],"[NULL,NULL,NULL]",2
45,CHI,0. . [media],"[NULL,NULL,NULL]",1
45,CHI,0. . [media],"[NULL,NULL,NULL]",2
46,MOT,[quote] 0. .,"[NULL,NULL,NULL]",1
46,MOT,[quote] 0. .,"[PAR-Follow-up:other,NULL,NULL]",2
47,CHI,ça c'est un dinosaurex . [media],"[NULL,NULL,NULL]",1
47,CHI,ça c'est un dinosaurex . [media],"[NULL,NULL,NULL]",2
48,MOT,oui . très bien ! [media],"[NULL,NULL,NULL]",1
48,MOT,oui . très bien ! [media],"[NULL,NULL,NULL]",2
49,CHI,[quote] ça ça .,"[NULL,NULL,NULL]",1
49,CHI,[quote] ça ça .,"[NULL,NULL,NULL]",2
50,CHI,0. . [media],"[NULL,NULL,NULL]",1
50,CHI,0. . [media],"[NULL,NULL,NULL]",2
51,CHI,ses pattes sont brillantes et e piquent ses pattes ! [media],"[NULL,NULL,NULL]",1
51,CHI,ses pattes sont brillantes et e piquent ses pattes ! [media],"[NULL,NULL,NULL]",2
52,CHI,attention les amis ! [media],"[NULL,NULL,NULL]",1
52,CHI,attention les amis ! [media],"[NULL,NULL,NULL]",2
53,CHI,c'est un animaux féroce ! [media],"[NULL,NULL,NULL]",1
53,CHI,c'est un animaux féroce ! [media],"[NULL,NULL,NULL]",2
54,CHI,0. www \<None\> . [media],"[NULL,NULL,NULL]",1
54,CHI,0. www \<None\> . [media],"[NULL,NULL,NULL]",2
55,CHI,ça c'est un animaux féroce . [media],"[NULL,NULL,NULL]",1
55,CHI,ça c'est un animaux féroce . [media],"[NULL,NULL,NULL]",2
56,CHI,0. . [media],"[NULL,NULL,NULL]",1
56,CHI,0. . [media],"[NULL,NULL,NULL]",2
57,CHI,\<None\> \<None\> \<None\> \<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",1
57,CHI,\<None\> \<None\> \<None\> \<None\> \<None\> \<None\> ! [media],"[NULL,NULL,NULL]",2
58,MOT,[quote] xxx .,"[NULL,NULL,NULL]",1
58,MOT,[quote] xxx .,"[NULL,NULL,NULL]",2
59,CHI,maman ça c'est \<None\> \<None\> un animaux féroce . [media],"[NULL,NULL,NULL]",1
59,CHI,maman ça c'est \<None\> \<None\> un animaux féroce . [media],"[NULL,NULL,NULL]",2
60,MOT,[quote] oui !,"[NULL,NULL,NULL]",1
60,MOT,[quote] oui !,"[NULL,NULL,NULL]",2
61,MOT,tout_à_fait ! [media],"[NULL,NULL,NULL]",1
61,MOT,tout_à_fait ! [media],"[NULL,NULL,NULL]",2
62,MOT,sur \<None\> le le meuble du couloir en_bas si_il_te_plaît \<None\> . [media],"[NULL,NULL,NULL]",1
62,MOT,sur \<None\> le le meuble du couloir en_bas si_il_te_plaît \<None\> . [media],"[NULL,NULL,NULL]",2
63,BR1,d'accord \<None\> !,"[NULL,NULL,NULL]",1
63,BR1,d'accord \<None\> !,"[NULL,NULL,NULL]",2
64,CHI,[quote] yyy .,"[NULL,NULL,NULL]",1
64,CHI,[quote] yyy .,"[NULL,NULL,NULL]",2
65,CHI,dinosaurex ... [media],"[NULL,NULL,NULL]",1
65,CHI,dinosaurex ... [media],"[NULL,NULL,NULL]",2
66,CHI,[quote] qui est là et qui fait vraiment peur . [media],"[NULL,NULL,NULL]",1
66,CHI,[quote] qui est là et qui fait vraiment peur . [media],"[NULL,NULL,NULL]",2
67,CHI,attention les amis c'est un \<self interruption\> [media],"[NULL,NULL,NULL]",1
67,CHI,attention les amis c'est un \<self interruption\> [media],"[NULL,NULL,NULL]",2
68,CHI,c'est c'est le plus fort du monde attention . [media],"[NULL,NULL,NULL]",1
68,CHI,c'est c'est le plus fort du monde attention . [media],"[NULL,NULL,NULL]",2
69,CHI,0. www \<None\> . [media],"[NULL,NULL,NULL]",1
69,CHI,0. www \<None\> . [media],"[NULL,NULL,NULL]",2
70,MOT,[quote] 0. .,"[NULL,NULL,NULL]",1
70,MOT,[quote] 0. .,"[NULL,NULL,NULL]",2
71,CHI,hé sauf que un dinosaure mange le sang de son bébé pour pour le retrouver . [media],"[NULL,NULL,NULL]",1
71,CHI,hé sauf que un dinosaure mange le sang de son bébé pour pour le retrouver . [media],"[NULL,NULL,NULL]",2
72,MOT,ah bon ? [media],"[NULL,NULL,NULL]",1
72,MOT,ah bon ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
73,CHI,ouais \<None\> ! [media],"[NULL,NULL,NULL]",1
73,CHI,ouais \<None\> ! [media],"[NULL,NULL,NULL]",2
74,MOT,c'est bizarre non ? [media],"[NULL,NULL,NULL]",1
74,MOT,c'est bizarre non ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
75,CHI,hé un dinosaure Rex ... [media],"[NULL,NULL,NULL]",1
75,CHI,hé un dinosaure Rex ... [media],"[CHI-Response:Non-answer:declarative,PAR-Follow-up:No-followup,NULL]",2
76,CHI,un non \<None\> \<None\> . un dinosaure yyy ... [media],"[NULL,NULL,NULL]",1
76,CHI,un non \<None\> \<None\> . un dinosaure yyy ... [media],"[NULL,NULL,NULL]",2
77,CHI,[quote] et la tête du dinosaure se fera en ve . [media],"[NULL,NULL,NULL]",1
77,CHI,[quote] et la tête du dinosaure se fera en ve . [media],"[NULL,NULL,NULL]",2
78,CHI,et qu'un grand grand grand dinosaure xxx . [media],"[NULL,NULL,NULL]",1
78,CHI,et qu'un grand grand grand dinosaure xxx . [media],"[NULL,NULL,NULL]",2
79,CHI,attends tu sais hé des dinosaures qui font la bagarre . [media],"[NULL,NULL,NULL]",1
79,CHI,attends tu sais hé des dinosaures qui font la bagarre . [media],"[NULL,NULL,NULL]",2
80,MOT,[quote] xxx . merci \<None\> .,"[NULL,NULL,NULL]",1
80,MOT,[quote] xxx . merci \<None\> .,"[NULL,NULL,NULL]",2
81,MOT,ah oui dis_don ! [media],"[NULL,NULL,NULL]",1
81,MOT,ah oui dis_don ! [media],"[NULL,NULL,NULL]",2
82,MOT,tu mets dans le bureau si_il_te_plaît . [media],"[NULL,NULL,NULL]",1
82,MOT,tu mets dans le bureau si_il_te_plaît . [media],"[NULL,NULL,NULL]",2
83,CHI,\<None\> \<None\> \<None\> . et un dinosaure qui est très long . [media],"[NULL,NULL,NULL]",1
83,CHI,\<None\> \<None\> \<None\> . et un dinosaure qui est très long . [media],"[NULL,NULL,NULL]",2
84,CHI,ça s'appelle un zzz . [media],"[NULL,NULL,NULL]",1
84,CHI,ça s'appelle un zzz . [media],"[NULL,NULL,NULL]",2
85,MOT,un quoi ? [media],"[NULL,NULL,NULL]",1
85,MOT,un quoi ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
86,CHI,un zzz . [media],"[NULL,NULL,NULL]",1
86,CHI,un zzz . [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
