ID,utterance,annotation,list-ID
5,on est le vingt quatre janvier deux mille dix et Théophile à quatre ans et demi ! [media],"[NULL,NULL,NULL]",1
5,on est le vingt quatre janvier deux mille dix et Théophile à quatre ans et demi ! [media],"[NULL,NULL,NULL]",2
6,[quote] xxx \<None\> .,"[NULL,NULL,NULL]",1
6,[quote] xxx \<None\> .,"[NULL,NULL,NULL]",2
7,[quote] non .,"[NULL,NULL,NULL]",1
7,[quote] non .,"[NULL,NULL,NULL]",2
8,et les garçons je vous ai ... [media],"[NULL,NULL,NULL]",1
8,et les garçons je vous ai ... [media],"[NULL,NULL,NULL]",2
9,[quote] non .,"[NULL,NULL,NULL]",1
9,[quote] non .,"[NULL,NULL,NULL]",2
10,Théophile Théophile Théophile oh oh t arrêtes d' en mettre partout !,"[NULL,NULL,NULL]",1
10,Théophile Théophile Théophile oh oh t arrêtes d' en mettre partout !,"[NULL,NULL,NULL]",2
11,xxx . [media],"[NULL,NULL,NULL]",1
11,xxx . [media],"[NULL,NULL,NULL]",2
12,[quote] les garçons je vous ai ramené un petit cadeau d' Angleterre en retard pour Noël .,"[NULL,NULL,NULL]",1
12,[quote] les garçons je vous ai ramené un petit cadeau d' Angleterre en retard pour Noël .,"[NULL,NULL,NULL]",2
13,alors le bleu pour Théophile ... [media],"[NULL,NULL,NULL]",1
13,alors le bleu pour Théophile ... [media],"[NULL,NULL,NULL]",2
14,moi xxx j'adore le bleu !,"[NULL,NULL,NULL]",1
14,moi xxx j'adore le bleu !,"[NULL,NULL,NULL]",2
15,ben je sais ... [media],"[NULL,NULL,NULL]",1
15,ben je sais ... [media],"[NULL,NULL,NULL]",2
16,le vert pour Antoine pour pas que vous ayez le même regarde il y a un p Papa_Noël . [media],"[NULL,NULL,NULL]",1
16,le vert pour Antoine pour pas que vous ayez le même regarde il y a un p Papa_Noël . [media],"[NULL,NULL,NULL]",2
17,[quote] Toinou Toinou regarde ouh .,"[NULL,NULL,NULL]",1
17,[quote] Toinou Toinou regarde ouh .,"[NULL,NULL,NULL]",2
18,[quote] papa .,"[NULL,NULL,NULL]",1
