ID,utterance,charlie,morgane,list-ID,child,age,file,similar,different
10,va tu la tu le gardes le tricycle ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,Adrien,2,020222,"PAR-Initiation:Non-Information-seeking , NULL",
15,tiens tu prends ça Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,Adrien,2,020222,"PAR-Initiation:Non-Information-seeking , NULL",
31,papa tu veux que papa il fasse ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2,Adrien,2,020222,"PAR-Initiation:Information-seeking:fact-based  , NULL",
32,papa papa ! [media],"[CHI-Response:Non-answer:declarative,NULL,NULL]","[CHI-Response:Non-answer:declarative,NULL,NULL]",2,Adrien,2,020222,"CHI-Response:Non-answer:declarative , NULL",
33,oui ! [media],"[PAR-Follow-up:Signal-agreement,NULL,NULL]","[PAR-Follow-up:Signal-agreement,NULL,NULL]",2,Adrien,2,020222,"PAR-Follow-up:Signal-agreement , NULL",
35,tu fais toi Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,Adrien,2,020222,"PAR-Initiation:Non-Information-seeking , NULL",
38,tombé Adrien ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,Adrien,2,020222,"PAR-Initiation:Non-Information-seeking , NULL",
46,tu prends ça ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,Adrien,2,020222,"PAR-Initiation:Non-Information-seeking , NULL",
47,comment ça s'appelle Adrien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2,Adrien,2,020222,"PAR-Initiation:Information-seeking:fact-based  , NULL",CHI-Response:No-response
48,comment ça s'appelle ça ? [media],"[PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response]","[PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response,NULL]",2,Adrien,2,020222,"PAR-Initiation:Information-seeking:fact-based  , CHI-Response:No-response","PAR-Follow-up:Re-ask-initial-question , NULL"
49,hein une voiture ! [media],"[PAR-Follow-up:Give-response,NULL,NULL]","[PAR-Follow-up:Give-response,NULL,NULL]",2,Adrien,2,020222,"PAR-Follow-up:Give-response , NULL",
50,comment tu dis voiture Adrien ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,Adrien,2,020222,,"PAR-Follow-up:Followup-question , PAR-Initiation:Information-seeking:fact-based  , CHI-Response:No-response , PAR-Initiation:Non-Information-seeking , NULL"
51,hein comment tu dis Adrien voiture ? [media],"[PAR-Follow-up:Re-ask-initial-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2,Adrien,2,020222,NULL,"PAR-Follow-up:Re-ask-initial-question , PAR-Initiation:Information-seeking:fact-based  , PAR-Initiation:Non-Information-seeking"
52,voiture ! [media],"[CHI-Response:Answer:no-explanation-needed,PAR-Follow-up:No-followup,NULL]","[NULL,NULL,NULL]",2,Adrien,2,020222,NULL,"CHI-Response:Answer:no-explanation-needed , PAR-Follow-up:No-followup"
59,comment ça s'appelle comment ça s'appelle ça Adrien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2,Adrien,2,020222,"PAR-Initiation:Information-seeking:fact-based  , NULL",
60,x pieds ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2,Adrien,2,020222,"CHI-Response:Answer:no-explanation-needed , NULL",
61,de quoi ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]","[PAR-Follow-up:other,NULL,NULL]",2,Adrien,2,020222,NULL,"PAR-Follow-up:Followup-question , PAR-Initiation:Information-seeking:fact-based  , PAR-Follow-up:other"
62,comment tu dis Adrien ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,NULL]",2,Adrien,2,020222,"PAR-Initiation:Information-seeking:fact-based  , NULL",PAR-Follow-up:Followup-question
63,x pieds ! [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]","[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2,Adrien,2,020222,"CHI-Response:Answer:no-explanation-needed , NULL",
64,ça veut dire quoi ça ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,No-response+No-follow-up]","[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,CHI-Response:No-response]",2,Adrien,2,020222,"PAR-Follow-up:Followup-question , PAR-Initiation:Information-seeking:fact-based ","No-response+No-follow-up , CHI-Response:No-response"
65,oh merde ! [media],"[NULL,NULL,NULL]","[PAR-Follow-up:other,NULL,NULL]",2,Adrien,2,020222,NULL,PAR-Follow-up:other
