ID,Speaker,utterance,annotation,list-ID
6,OBS,mademoiselle Madeleine a cinq ans . [media],"[NULL,NULL,NULL]",1
6,OBS,mademoiselle Madeleine a cinq ans . [media],"[NULL,NULL,NULL]",2
7,OBS,et monsieur Côme ... [media],"[NULL,NULL,NULL]",1
7,OBS,et monsieur Côme ... [media],"[NULL,NULL,NULL]",2
8,CHI,[quote] oh non mais j'y arrive pas .,"[NULL,NULL,NULL]",1
8,CHI,[quote] oh non mais j'y arrive pas .,"[NULL,NULL,NULL]",2
9,MOT,hé qu'est-ce que c'est ? [media],"[NULL,NULL,NULL]",1
9,MOT,hé qu'est-ce que c'est ? [media],"[PAR-Initiation:Information-seeking:fact-based ,Complex-long,NULL]",2
10,OBS,qu'est-ce que t essayes de faire ? [media],"[NULL,NULL,NULL]",1
10,OBS,qu'est-ce que t essayes de faire ? [media],"[NULL,NULL,NULL]",2
11,CHI,j'essaie de faire un dessin et puis j'y arrive pas . [media],"[NULL,NULL,NULL]",1
11,CHI,j'essaie de faire un dessin et puis j'y arrive pas . [media],"[NULL,NULL,NULL]",2
12,MOT,ah oui ça s'efface au fur et à mesure c'est ça ? [media],"[NULL,NULL,NULL]",1
12,MOT,ah oui ça s'efface au fur et à mesure c'est ça ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
13,CHI,oui . [media],"[NULL,NULL,NULL]",1
13,CHI,oui . [media],"[NULL,NULL,NULL]",2
14,CHI,peut-être qu'il faut le faire plus doucement . [media],"[NULL,NULL,NULL]",1
14,CHI,peut-être qu'il faut le faire plus doucement . [media],"[CHI-Response:Answer:with-explanation-high-quality,NULL,NULL]",2
15,MOT,ah peut-être . [media],"[NULL,NULL,NULL]",1
15,MOT,ah peut-être . [media],"[PAR-Follow-up:other,NULL,NULL]",2
16,MOT,ça efface bien ? [media],"[NULL,NULL,NULL]",1
16,MOT,ça efface bien ? [media],"[PAR-Follow-up:Followup-question,PAR-Initiation:Information-seeking:fact-based ,Complex-long]",2
17,CHI,ouais . [media],"[NULL,NULL,NULL]",1
17,CHI,ouais . [media],"[NULL,NULL,NULL]",2
18,CHI,regarde . [media],"[NULL,NULL,NULL]",1
18,CHI,regarde . [media],"[NULL,NULL,NULL]",2
19,MOT,hé Côme qu'est-ce qu'elle fait Martine ? [media],"[NULL,NULL,NULL]",1
19,MOT,hé Côme qu'est-ce qu'elle fait Martine ? [media],"[NULL,NULL,NULL]",2
20,CHI,elle te filme . [media],"[NULL,NULL,NULL]",1
20,CHI,elle te filme . [media],"[NULL,NULL,NULL]",2
21,COM,0. . [media],"[NULL,NULL,NULL]",1
21,COM,0. . [media],"[NULL,NULL,NULL]",2
22,MOT,[quote] 0. .,"[NULL,NULL,NULL]",1
22,MOT,[quote] 0. .,"[NULL,NULL,NULL]",2
23,CHI,[quote] 0. .,"[NULL,NULL,NULL]",1
23,CHI,[quote] 0. .,"[NULL,NULL,NULL]",2
24,OBS,[quote] je vous filme tous les trois c'est superbe .,"[NULL,NULL,NULL]",1
24,OBS,[quote] je vous filme tous les trois c'est superbe .,"[NULL,NULL,NULL]",2
25,MOT,lui il veut bien être sur l'image hein . [media],"[NULL,NULL,NULL]",1
25,MOT,lui il veut bien être sur l'image hein . [media],"[NULL,NULL,NULL]",2
26,OBS,oui il y est . [media],"[NULL,NULL,NULL]",1
26,OBS,oui il y est . [media],"[NULL,NULL,NULL]",2
27,MOT,et où sont tes belles lunettes Côme ? [media],"[NULL,NULL,NULL]",1
27,MOT,et où sont tes belles lunettes Côme ? [media],"[NULL,NULL,NULL]",2
28,MOT,dans mon sac je crois . [media],"[NULL,NULL,NULL]",1
28,MOT,dans mon sac je crois . [media],"[NULL,NULL,NULL]",2
29,COM,hum hum . [media],"[NULL,NULL,NULL]",1
29,COM,hum hum . [media],"[NULL,NULL,NULL]",2
30,MOT,ah bah voilà . [media],"[NULL,NULL,NULL]",1
30,MOT,ah bah voilà . [media],"[NULL,NULL,NULL]",2
31,MOT,xxx . [media],"[NULL,NULL,NULL]",1
31,MOT,xxx . [media],"[NULL,NULL,NULL]",2
32,OBS,[quote] Côme tu as quel âge maintenant ?,"[NULL,NULL,NULL]",1
32,OBS,[quote] Côme tu as quel âge maintenant ?,"[NULL,NULL,NULL]",2
33,CHI,ah je veux faire une maison c'est la xxx . [media],"[NULL,NULL,NULL]",1
33,CHI,ah je veux faire une maison c'est la xxx . [media],"[NULL,NULL,NULL]",2
34,COM,[quote] deux ans et demi .,"[NULL,NULL,NULL]",1
34,COM,[quote] deux ans et demi .,"[NULL,NULL,NULL]",2
35,OBS,deux ans et demi ? [media],"[NULL,NULL,NULL]",1
35,OBS,deux ans et demi ? [media],"[NULL,NULL,NULL]",2
36,COM,hum hum . [media],"[NULL,NULL,NULL]",1
36,COM,hum hum . [media],"[NULL,NULL,NULL]",2
37,CHI,c'est la xxx . [media],"[NULL,NULL,NULL]",1
37,CHI,c'est la xxx . [media],"[NULL,NULL,NULL]",2
38,MOT,[quote] et toi t as quel âge Madeleine ?,"[NULL,NULL,NULL]",1
38,MOT,[quote] et toi t as quel âge Madeleine ?,"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
39,CHI,cinq ans . [media],"[NULL,NULL,NULL]",1
39,CHI,cinq ans . [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
40,MOT,hé on n' a pas vu Martine depuis ton anniversaire . [media],"[NULL,NULL,NULL]",1
40,MOT,hé on n' a pas vu Martine depuis ton anniversaire . [media],"[PAR-Follow-up:other,NULL,NULL]",2
41,OBS,hé non . [media],"[NULL,NULL,NULL]",1
41,OBS,hé non . [media],"[NULL,NULL,NULL]",2
42,MOT,hein ?,"[NULL,NULL,NULL]",1
42,MOT,hein ?,"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
43,CHI,et j'ai fait mon anniversaire en_plus .,"[NULL,NULL,NULL]",1
43,CHI,et j'ai fait mon anniversaire en_plus .,"[CHI-Response:Non-answer:declarative,NULL,NULL]",2
44,MOT,et tu peux raconter comment tu as fêté ton anniversaire .,"[NULL,NULL,NULL]",1
44,MOT,et tu peux raconter comment tu as fêté ton anniversaire .,"[PAR-Follow-up:Followup-question,PAR-Initiation:Non-Information-seeking,NULL]",2
45,COM,[quote] xxx .,"[NULL,NULL,NULL]",1
45,COM,[quote] xxx .,"[NULL,NULL,NULL]",2
46,CHI,alors en fait j'avais invité mes copains . [media],"[NULL,NULL,NULL]",1
46,CHI,alors en fait j'avais invité mes copains . [media],"[NULL,NULL,NULL]",2
47,COM,[quote] xxx .,"[NULL,NULL,NULL]",1
47,COM,[quote] xxx .,"[NULL,NULL,NULL]",2
48,CHI,et puis en fait à un moment je suis sortie du jardin . [media],"[NULL,NULL,NULL]",1
48,CHI,et puis en fait à un moment je suis sortie du jardin . [media],"[NULL,NULL,NULL]",2
49,MOT,ah oui t as fait une p crise même . [media],"[NULL,NULL,NULL]",1
49,MOT,ah oui t as fait une p crise même . [media],"[NULL,NULL,NULL]",2
50,CHI,hein oui . [media],"[NULL,NULL,NULL]",1
50,CHI,hein oui . [media],"[NULL,NULL,NULL]",2
51,MOT,[quote] hein \<None\> .,"[NULL,NULL,NULL]",1
51,MOT,[quote] hein \<None\> .,"[NULL,NULL,NULL]",2
52,CHI,je suis sortie je suis même sortie du jardin .,"[NULL,NULL,NULL]",1
52,CHI,je suis sortie je suis même sortie du jardin .,"[NULL,NULL,NULL]",2
53,MOT,[quote] pourquoi déjà ?,"[NULL,NULL,NULL]",1
53,MOT,[quote] pourquoi déjà ?,"[PAR-Initiation:Information-seeking:explanation-based,Complex-long,NULL]",2
54,MOT,oui . [media],"[NULL,NULL,NULL]",1
54,MOT,oui . [media],"[NULL,NULL,NULL]",2
55,CHI,pour aller dans la villa des tulipes et je me suis mis au fond . [media],"[NULL,NULL,NULL]",1
55,CHI,pour aller dans la villa des tulipes et je me suis mis au fond . [media],"[NULL,NULL,NULL]",2
56,OBS,c'est vrai ? [media],"[NULL,NULL,NULL]",1
56,OBS,c'est vrai ? [media],"[NULL,NULL,NULL]",2
57,CHI,oui . [media],"[NULL,NULL,NULL]",1
57,CHI,oui . [media],"[NULL,NULL,NULL]",2
58,OBS,pourquoi t étais fatigué de ça de cette fête ? [media],"[NULL,NULL,NULL]",1
58,OBS,pourquoi t étais fatigué de ça de cette fête ? [media],"[NULL,NULL,NULL]",2
59,OBS,y avait trop de bruit ?,"[NULL,NULL,NULL]",1
59,OBS,y avait trop de bruit ?,"[NULL,NULL,NULL]",2
60,MOT,y avait un peu trop de ... [media],"[NULL,NULL,NULL]",1
60,MOT,y avait un peu trop de ... [media],"[NULL,NULL,NULL]",2
61,OBS,trop d' émotions ?,"[NULL,NULL,NULL]",1
61,OBS,trop d' émotions ?,"[NULL,NULL,NULL]",2
62,MOT,trop d' émotions d' agitations d' énervements tout ça hein . [media],"[NULL,NULL,NULL]",1
62,MOT,trop d' émotions d' agitations d' énervements tout ça hein . [media],"[NULL,NULL,NULL]",2
63,MOT,c'était des trop . [media],"[NULL,NULL,NULL]",1
63,MOT,c'était des trop . [media],"[NULL,NULL,NULL]",2
64,MOT,et puis après ... [media],"[NULL,NULL,NULL]",1
64,MOT,et puis après ... [media],"[NULL,NULL,NULL]",2
65,MOT,on est allé te chercher puis c'est . c'est Blandine . [media],"[NULL,NULL,NULL]",1
65,MOT,on est allé te chercher puis c'est . c'est Blandine . [media],"[NULL,NULL,NULL]",2
66,MOT,[quote] une copine qu est allé lui parler . [media],"[NULL,NULL,NULL]",1
66,MOT,[quote] une copine qu est allé lui parler . [media],"[NULL,NULL,NULL]",2
67,MOT,parce que les enfants étaient en_train de prendre le goûter là . [media],"[NULL,NULL,NULL]",1
67,MOT,parce que les enfants étaient en_train de prendre le goûter là . [media],"[NULL,NULL,NULL]",2
68,CHI,[quote] xxx \<None\> .,"[NULL,NULL,NULL]",1
68,CHI,[quote] xxx \<None\> .,"[NULL,NULL,NULL]",2
69,MOT,toi tu étais pas contente parce que j'avais distribué les chapeaux . [media],"[NULL,NULL,NULL]",1
69,MOT,toi tu étais pas contente parce que j'avais distribué les chapeaux . [media],"[NULL,NULL,NULL]",2
70,CHI,oui . [media],"[NULL,NULL,NULL]",1
70,CHI,oui . [media],"[NULL,NULL,NULL]",2
71,MOT,oui .,"[NULL,NULL,NULL]",1
71,MOT,oui .,"[NULL,NULL,NULL]",2
72,CHI,et puis moi je voulais les \<self interruption\>,"[NULL,NULL,NULL]",1
