ID,Speaker,utterance,annotation,list-ID
6,OBS,alors on est le quatorze novembre deux mille huit . [media],"[NULL,NULL,NULL]",1
6,OBS,alors on est le quatorze novembre deux mille huit . [media],"[NULL,NULL,NULL]",2
7,OBS,et Théophile a trois ans et quatre mois . [media],"[NULL,NULL,NULL]",1
7,OBS,et Théophile a trois ans et quatre mois . [media],"[NULL,NULL,NULL]",2
8,MOT,août août septembre octobre \<None\> . [media],"[NULL,NULL,NULL]",1
8,MOT,août août septembre octobre \<None\> . [media],"[NULL,NULL,NULL]",2
9,OBS,[quote] c'est pas ça ?,"[NULL,NULL,NULL]",1
9,OBS,[quote] c'est pas ça ?,"[NULL,NULL,NULL]",2
10,MOT,si c'est ça . [media],"[NULL,NULL,NULL]",1
10,MOT,si c'est ça . [media],"[NULL,NULL,NULL]",2
11,CHI,[quote] tu peux le mettre là ?,"[CHI-Initiation:Information-seeking:fact-based,NULL,NULL]",1
11,CHI,[quote] tu peux le mettre là ?,"[NULL,NULL,NULL]",2
12,CHI,tu sais . [media],"[NULL,NULL,NULL]",1
12,CHI,tu sais . [media],"[NULL,NULL,NULL]",2
13,MOT,tu veux qu'on l'accroche ?,"[PAR-Response:Non-answer:interrogative,NULL,NULL]",1
13,MOT,tu veux qu'on l'accroche ?,"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
14,CHI,oui .,"[CHI-Follow-up:Signal-agreement,NULL,NULL]",1
14,CHI,oui .,"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
15,MOT,ouh dis_donc c'est vrai qu'il est beau hein ! [media],"[NULL,NULL,NULL]",1
15,MOT,ouh dis_donc c'est vrai qu'il est beau hein ! [media],"[PAR-Follow-up:other,NULL,NULL]",2
16,MOT,attends on va l'accrocher alors .,"[NULL,NULL,NULL]",1
16,MOT,attends on va l'accrocher alors .,"[NULL,NULL,NULL]",2
17,CHI,bouh . [media],"[NULL,NULL,NULL]",1
17,CHI,bouh . [media],"[NULL,NULL,NULL]",2
18,BRO,yyy .,"[NULL,NULL,NULL]",1
18,BRO,yyy .,"[NULL,NULL,NULL]",2
19,OBS,oh regarde il y a Antoine qui est sur ton lit !,"[NULL,NULL,NULL]",1
19,OBS,oh regarde il y a Antoine qui est sur ton lit !,"[NULL,NULL,NULL]",2
20,CHI,ouais ! [media],"[NULL,NULL,NULL]",1
20,CHI,ouais ! [media],"[NULL,NULL,NULL]",2
21,OBS,c'est la première fois que je le vois sur ton lit .,"[NULL,NULL,NULL]",1
21,OBS,c'est la première fois que je le vois sur ton lit .,"[NULL,NULL,NULL]",2
22,OBS,il a vraiment grandi hein !,"[NULL,NULL,NULL]",1
22,OBS,il a vraiment grandi hein !,"[NULL,NULL,NULL]",2
23,OBS,ouh t es fatigué Théophile ? [media],"[NULL,NULL,NULL]",1
23,OBS,ouh t es fatigué Théophile ? [media],"[NULL,NULL,NULL]",2
24,MOT,on va se on va prendre la douchette Théophile ? [media],"[NULL,NULL,NULL]",1
24,MOT,on va se on va prendre la douchette Théophile ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
25,MOT,hé regarde je le mets là ? [media],"[NULL,NULL,NULL]",1
25,MOT,hé regarde je le mets là ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
26,CHI,ouais . [media],"[NULL,NULL,NULL]",1
26,CHI,ouais . [media],"[CHI-Response:Answer:no-explanation-needed,NULL,NULL]",2
27,MOT,ouais il est très gentil Théophile parce qu'il prête euh . son lit et ses doudous . [media],"[NULL,NULL,NULL]",1
27,MOT,ouais il est très gentil Théophile parce qu'il prête euh . son lit et ses doudous . [media],"[PAR-Follow-up:other,NULL,NULL]",2
28,OBS,c'est vraiment sympa hein ! [media],"[NULL,NULL,NULL]",1
28,OBS,c'est vraiment sympa hein ! [media],"[NULL,NULL,NULL]",2
29,MOT,[quote] et tous ses bébés .,"[NULL,NULL,NULL]",1
29,MOT,[quote] et tous ses bébés .,"[NULL,NULL,NULL]",2
30,MOT,hein mais Antoine il lui prête aussi tous ses doudous hein ! [media],"[NULL,NULL,NULL]",1
30,MOT,hein mais Antoine il lui prête aussi tous ses doudous hein ! [media],"[NULL,NULL,NULL]",2
31,CHI,0. . [media],"[NULL,NULL,NULL]",1
31,CHI,0. . [media],"[NULL,NULL,NULL]",2
32,MOT,Théophile doucement quand_même !,"[NULL,NULL,NULL]",1
32,MOT,Théophile doucement quand_même !,"[NULL,NULL,NULL]",2
33,MOT,bah Théophile c'est quoi ça ? [media],"[NULL,NULL,NULL]",1
33,MOT,bah Théophile c'est quoi ça ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
34,OBS,[quote] oh bah alors .,"[NULL,NULL,NULL]",1
34,OBS,[quote] oh bah alors .,"[NULL,NULL,NULL]",2
35,MOT,oh . est-ce que c'est un ballon Wata ? [media],"[NULL,NULL,NULL]",1
35,MOT,oh . est-ce que c'est un ballon Wata ? [media],"[PAR-Initiation:Information-seeking:fact-based ,NULL,NULL]",2
36,CHI,[quote] 0. .,"[NULL,NULL,NULL]",1
36,CHI,[quote] 0. .,"[CHI-Response:No-label,NULL,NULL]",2
37,MOT,hein ?,"[NULL,NULL,NULL]",1
37,MOT,hein ?,"[PAR-Follow-up:Followup-question,PAR-Initiation:Non-Information-seeking,NULL]",2
38,MOT,tu l'attrapes ? [media],"[NULL,NULL,NULL]",1
38,MOT,tu l'attrapes ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
39,CHI,[quote] oui \<None\> !,"[NULL,NULL,NULL]",1
39,CHI,[quote] oui \<None\> !,"[NULL,NULL,NULL]",2
40,CHI,yyy . [media],"[NULL,NULL,NULL]",1
40,CHI,yyy . [media],"[NULL,NULL,NULL]",2
41,MOT,wouh !,"[NULL,NULL,NULL]",1
41,MOT,wouh !,"[NULL,NULL,NULL]",2
