ID,utterance,annotation,list-ID
2,www . [media],"[NULL,NULL,NULL]",1
2,www . [media],"[NULL,NULL,NULL]",2
3,qu'est-ce qu'elle fait Naomi Adrien ? [media],"[NULL,NULL,NULL]",1
3,qu'est-ce qu'elle fait Naomi Adrien ? [media],"[NULL,NULL,NULL]",2
4,ah ben si t'éteins la lumière elle verra plus rien ! [media],"[NULL,NULL,NULL]",1
4,ah ben si t'éteins la lumière elle verra plus rien ! [media],"[NULL,NULL,NULL]",2
5,c'est ça ! [media],"[NULL,NULL,NULL]",1
5,c'est ça ! [media],"[NULL,NULL,NULL]",2
6,éteins éteins lumière . [media],"[NULL,NULL,NULL]",1
6,éteins éteins lumière . [media],"[NULL,NULL,NULL]",2
7,tu allumes s'il te plaît ? [media],"[NULL,NULL,NULL]",1
7,tu allumes s'il te plaît ? [media],"[NULL,NULL,NULL]",2
8,ouais ! [media],"[NULL,NULL,NULL]",1
8,ouais ! [media],"[NULL,NULL,NULL]",2
9,"t'es grand maintenant , t'y arrives . [media]","[NULL,NULL,NULL]",1
9,"t'es grand maintenant , t'y arrives . [media]","[NULL,NULL,NULL]",2
10,tu allumes s'il te plaît ? [media],"[NULL,NULL,NULL]",1
10,tu allumes s'il te plaît ? [media],"[NULL,NULL,NULL]",2
11,euh non là ! [media],"[NULL,NULL,NULL]",1
11,euh non là ! [media],"[NULL,NULL,NULL]",2
12,comment on allume ? [media],"[NULL,NULL,NULL]",1
12,comment on allume ? [media],"[NULL,NULL,NULL]",2
13,attends ! [media],"[NULL,NULL,NULL]",1
13,attends ! [media],"[NULL,NULL,NULL]",2
14,comment on allume ? [media],"[NULL,NULL,NULL]",1
14,comment on allume ? [media],"[NULL,NULL,NULL]",2
15,yyy yyy yyy . [media],"[NULL,NULL,NULL]",1
15,yyy yyy yyy . [media],"[NULL,NULL,NULL]",2
16,"ah , pas de lumière ? [media]","[NULL,NULL,NULL]",1
16,"ah , pas de lumière ? [media]","[NULL,NULL,NULL]",2
17,"ouais , bravo ! [media]","[NULL,NULL,NULL]",1
17,"ouais , bravo ! [media]","[NULL,NULL,NULL]",2
18,ça va Adrien ? [media],"[NULL,NULL,NULL]",1
18,ça va Adrien ? [media],"[NULL,NULL,NULL]",2
19,"montre , montre tes jolies chaussures ! [media]","[NULL,NULL,NULL]",1
19,"montre , montre tes jolies chaussures ! [media]","[NULL,NULL,NULL]",2
20,qu'est-ce t'as fait aujourd'hui Adrien ? [media],"[NULL,NULL,NULL]",1
20,qu'est-ce t'as fait aujourd'hui Adrien ? [media],"[NULL,NULL,NULL]",2
21,oh j'ai fait pout ! [media],"[NULL,NULL,NULL]",1
21,oh j'ai fait pout ! [media],"[NULL,NULL,NULL]",2
22,hé t'as fait un pout ah ben alors ! [media],"[NULL,NULL,NULL]",1
22,hé t'as fait un pout ah ben alors ! [media],"[NULL,NULL,NULL]",2
23,yyy t'as des poches en plus ! [media],"[NULL,NULL,NULL]",1
23,yyy t'as des poches en plus ! [media],"[NULL,NULL,NULL]",2
24,les poches en plus . [media],"[NULL,NULL,NULL]",1
24,les poches en plus . [media],"[NULL,NULL,NULL]",2
25,il y a quoi dans les poches Adrien ? [media],"[NULL,NULL,NULL]",1
25,il y a quoi dans les poches Adrien ? [media],"[NULL,NULL,NULL]",2
26,yyy yyy yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",1
26,yyy yyy yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",2
27,yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",1
27,yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",2
28,yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",1
28,yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",2
29,yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",1
29,yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",2
30,yyy yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",1
30,yyy yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",2
31,yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",1
31,yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",2
32,yyy yyy yyy yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",1
32,yyy yyy yyy yyy yyy yyy yyy . [media],"[NULL,NULL,NULL]",2
33,non enlève pas enlève pas le truc ! [media],"[NULL,NULL,NULL]",1
33,non enlève pas enlève pas le truc ! [media],"[NULL,NULL,NULL]",2
34,remets le train Adrien ! [media],"[NULL,NULL,NULL]",1
34,remets le train Adrien ! [media],"[NULL,NULL,NULL]",2
35,tu le remets ? [media],"[NULL,NULL,NULL]",1
35,tu le remets ? [media],"[NULL,NULL,NULL]",2
36,remets-le ! [media],"[NULL,NULL,NULL]",1
36,remets-le ! [media],"[NULL,NULL,NULL]",2
37,"ça c'est pour le micro , tiens , tu refais ton petit train ? [media]","[NULL,NULL,NULL]",1
37,"ça c'est pour le micro , tiens , tu refais ton petit train ? [media]","[NULL,NULL,NULL]",2
38,tiens regarde là il y a un petit wagon . [media],"[NULL,NULL,NULL]",1
38,tiens regarde là il y a un petit wagon . [media],"[NULL,NULL,NULL]",2
39,"là il y en a un là , il y en a un là , il y a le train , tiens tu les accroches tous ? [media]","[NULL,NULL,NULL]",1
39,"là il y en a un là , il y en a un là , il y a le train , tiens tu les accroches tous ? [media]","[NULL,NULL,NULL]",2
40,attends . [media],"[NULL,NULL,NULL]",1
40,attends . [media],"[NULL,NULL,NULL]",2
41,xxx . [media],"[NULL,NULL,NULL]",1
41,xxx . [media],"[NULL,NULL,NULL]",2
42,montre à Naomi comment il marche le petit train ! [media],"[NULL,NULL,NULL]",1
42,montre à Naomi comment il marche le petit train ! [media],"[NULL,NULL,NULL]",2
43,www . [media],"[NULL,NULL,NULL]",1
43,www . [media],"[NULL,NULL,NULL]",2
44,x s'ouvre pas ! [media],"[NULL,NULL,NULL]",1
44,x s'ouvre pas ! [media],"[NULL,NULL,NULL]",2
45,t'y arrives pas ? [media],"[NULL,NULL,NULL]",1
45,t'y arrives pas ? [media],"[NULL,NULL,NULL]",2
46,non ! [media],"[NULL,NULL,NULL]",1
46,non ! [media],"[NULL,NULL,NULL]",2
47,ben montre-moi où il est ! [media],"[NULL,NULL,NULL]",1
47,ben montre-moi où il est ! [media],"[NULL,NULL,NULL]",2
48,"vas_y comment on fait , comment on fait , ça tu le mets où , tu le mets là ? [media]","[NULL,NULL,NULL]",1
48,"vas_y comment on fait , comment on fait , ça tu le mets où , tu le mets là ? [media]","[NULL,NULL,NULL]",2
49,là ! [media],"[NULL,NULL,NULL]",1
49,là ! [media],"[NULL,NULL,NULL]",2
50,derrière ! [media],"[NULL,NULL,NULL]",1
50,derrière ! [media],"[NULL,NULL,NULL]",2
51,hop ! [media],"[NULL,NULL,NULL]",1
51,hop ! [media],"[NULL,NULL,NULL]",2
52,faut appuyer ! [media],"[NULL,NULL,NULL]",1
52,faut appuyer ! [media],"[NULL,NULL,NULL]",2
53,"hop , bravo ! [media]","[NULL,NULL,NULL]",1
53,"hop , bravo ! [media]","[NULL,NULL,NULL]",2
54,"hop , vas_y ! [media]","[NULL,NULL,NULL]",1
54,"hop , vas_y ! [media]","[NULL,NULL,NULL]",2
55,hop ! [media],"[NULL,NULL,NULL]",1
55,hop ! [media],"[NULL,NULL,NULL]",2
56,xxx . [media],"[NULL,NULL,NULL]",1
56,xxx . [media],"[NULL,NULL,NULL]",2
57,ah ! [media],"[NULL,NULL,NULL]",1
57,ah ! [media],"[NULL,NULL,NULL]",2
58,xxx . [media],"[NULL,NULL,NULL]",1
58,xxx . [media],"[NULL,NULL,NULL]",2
59,oh non ! [media],"[NULL,NULL,NULL]",1
59,oh non ! [media],"[NULL,NULL,NULL]",2
60,c'est cassé en plus ! [media],"[NULL,NULL,NULL]",1
60,c'est cassé en plus ! [media],"[NULL,NULL,NULL]",2
61,c'est cassé en plus ? [media],"[NULL,NULL,NULL]",1
61,c'est cassé en plus ? [media],"[NULL,NULL,NULL]",2
62,oui ! [media],"[NULL,NULL,NULL]",1
62,oui ! [media],"[NULL,NULL,NULL]",2
63,pourquoi ? [media],"[NULL,NULL,NULL]",1
63,pourquoi ? [media],"[NULL,NULL,NULL]",2
64,ça a tourné à gauche ! [media],"[NULL,NULL,NULL]",1
64,ça a tourné à gauche ! [media],"[NULL,NULL,NULL]",2
65,et oui ! [media],"[NULL,NULL,NULL]",1
65,et oui ! [media],"[NULL,NULL,NULL]",2
66,tu veux que je le mette ? [media],"[NULL,NULL,NULL]",1
66,tu veux que je le mette ? [media],"[NULL,NULL,NULL]",2
67,là ! [media],"[NULL,NULL,NULL]",1
67,là ! [media],"[NULL,NULL,NULL]",2
68,où ça ? [media],"[NULL,NULL,NULL]",1
68,où ça ? [media],"[NULL,NULL,NULL]",2
69,derrière ! [media],"[NULL,NULL,NULL]",1
69,derrière ! [media],"[NULL,NULL,NULL]",2
70,derrière ? [media],"[NULL,NULL,NULL]",1
70,derrière ? [media],"[NULL,NULL,NULL]",2
71,yyy . [media],"[NULL,NULL,NULL]",1
71,yyy . [media],"[NULL,NULL,NULL]",2
72,là comme ça ? [media],"[NULL,NULL,NULL]",1
72,là comme ça ? [media],"[NULL,NULL,NULL]",2
73,yyy . [media],"[NULL,NULL,NULL]",1
73,yyy . [media],"[NULL,NULL,NULL]",2
74,c'est dur hein . [media],"[NULL,NULL,NULL]",1
74,c'est dur hein . [media],"[NULL,NULL,NULL]",2
75,www . [media],"[NULL,NULL,NULL]",1
75,www . [media],"[NULL,NULL,NULL]",2
76,www . [media],"[NULL,NULL,NULL]",1
76,www . [media],"[NULL,NULL,NULL]",2
77,www . [media],"[NULL,NULL,NULL]",1
77,www . [media],"[NULL,NULL,NULL]",2
78,il est où papa ? [media],"[NULL,NULL,NULL]",1
78,il est où papa ? [media],"[NULL,NULL,NULL]",2
79,euh je sais pas ! [media],"[NULL,NULL,NULL]",1
79,euh je sais pas ! [media],"[NULL,NULL,NULL]",2
80,attends ! [media],"[NULL,NULL,NULL]",1
80,attends ! [media],"[NULL,NULL,NULL]",2
81,il est là ! [media],"[NULL,NULL,NULL]",1
81,il est là ! [media],"[NULL,NULL,NULL]",2
82,qu'est-ce tu dis Adrien ? [media],"[NULL,NULL,NULL]",1
82,qu'est-ce tu dis Adrien ? [media],"[NULL,NULL,NULL]",2
83,allez allez yyy yyy . [media],"[NULL,NULL,NULL]",1
83,allez allez yyy yyy . [media],"[NULL,NULL,NULL]",2
84,de quoi ? [media],"[NULL,NULL,NULL]",1
84,de quoi ? [media],"[NULL,NULL,NULL]",2
85,allez yyy yyy . [media],"[NULL,NULL,NULL]",1
85,allez yyy yyy . [media],"[NULL,NULL,NULL]",2
