ID,utterance,annotation,list-ID
6,xxx tu dis Madeleine ? [media],"[NULL,NULL,NULL]",1
6,xxx tu dis Madeleine ? [media],"[NULL,NULL,NULL]",2
7,0. .,"[NULL,NULL,NULL]",1
7,0. .,"[NULL,NULL,NULL]",2
8,yyy yyy . [media],"[NULL,NULL,NULL]",1
8,yyy yyy . [media],"[NULL,NULL,NULL]",2
9,yyy a donné moi . [media],"[NULL,NULL,NULL]",1
9,yyy a donné moi . [media],"[NULL,NULL,NULL]",2
10,on va aider \<None\> maman à rentrer les courses ? [media],"[NULL,NULL,NULL]",1
10,on va aider \<None\> maman à rentrer les courses ? [media],"[NULL,NULL,NULL]",2
11,s \<interruption\>,"[NULL,NULL,NULL]",1
11,s \<interruption\>,"[NULL,NULL,NULL]",2
12,viens ! [media],"[NULL,NULL,NULL]",1
12,viens ! [media],"[NULL,NULL,NULL]",2
13,oui . [media],"[NULL,NULL,NULL]",1
13,oui . [media],"[NULL,NULL,NULL]",2
14,\<None\> \<None\> \<None\> \<None\> \<None\> \<None\> est mon cadeau . [media],"[NULL,NULL,NULL]",1
14,\<None\> \<None\> \<None\> \<None\> \<None\> \<None\> est mon cadeau . [media],"[NULL,NULL,NULL]",2
15,ça c'est mon cadeau . [media],"[NULL,NULL,NULL]",1
15,ça c'est mon cadeau . [media],"[NULL,NULL,NULL]",2
16,moi l arrive pas à ouvrir . [media],"[NULL,NULL,NULL]",1
16,moi l arrive pas à ouvrir . [media],"[NULL,NULL,NULL]",2
17,c'est tout emberlificoté \<None\> ! [media],"[NULL,NULL,NULL]",1
17,c'est tout emberlificoté \<None\> ! [media],"[NULL,NULL,NULL]",2
18,attends tu \<None\> peux pas y arriver !,"[NULL,NULL,NULL]",1
18,attends tu \<None\> peux pas y arriver !,"[NULL,NULL,NULL]",2
19,han ! [media],"[NULL,NULL,NULL]",1
19,han ! [media],"[NULL,NULL,NULL]",2
20,bon tu es sûre que c'est pas les oeufs \<None\> ? [media],"[NULL,NULL,NULL]",1
20,bon tu es sûre que c'est pas les oeufs \<None\> ? [media],"[NULL,NULL,NULL]",2
21,c'est craqué \<None\> .,"[NULL,NULL,NULL]",1
21,c'est craqué \<None\> .,"[NULL,NULL,NULL]",2
22,si c'est les oeufs en_plus \<None\> mince \<None\> . [media],"[NULL,NULL,NULL]",1
22,si c'est les oeufs en_plus \<None\> mince \<None\> . [media],"[NULL,NULL,NULL]",2
23,si c'est les oeufs \<None\> .,"[NULL,NULL,NULL]",1
23,si c'est les oeufs \<None\> .,"[NULL,NULL,NULL]",2
24,c'est pas grave . [media],"[NULL,NULL,NULL]",1
24,c'est pas grave . [media],"[NULL,NULL,NULL]",2
25,j'espère de pas casser les oeufs ! [media],"[NULL,NULL,NULL]",1
25,j'espère de pas casser les oeufs ! [media],"[NULL,NULL,NULL]",2
26,on va voir on va voir ! [media],"[NULL,NULL,NULL]",1
26,on va voir on va voir ! [media],"[NULL,NULL,NULL]",2
27,[quote] xxx .,"[NULL,NULL,NULL]",1
27,[quote] xxx .,"[NULL,NULL,NULL]",2
28,sinon va falloir faire une omelette \<None\> ! [media],"[NULL,NULL,NULL]",1
28,sinon va falloir faire une omelette \<None\> ! [media],"[NULL,NULL,NULL]",2
29,xxx \<None\> .,"[NULL,NULL,NULL]",1
29,xxx \<None\> .,"[NULL,NULL,NULL]",2
30,oui . [media],"[NULL,NULL,NULL]",1
30,oui . [media],"[NULL,NULL,NULL]",2
31,mais le . sac était déjà à moitié craqué en fait . [media],"[NULL,NULL,NULL]",1
31,mais le . sac était déjà à moitié craqué en fait . [media],"[NULL,NULL,NULL]",2
32,oh ! [media],"[NULL,NULL,NULL]",1
32,oh ! [media],"[NULL,NULL,NULL]",2
33,c'est mon ça . [media],"[NULL,NULL,NULL]",1
33,c'est mon ça . [media],"[NULL,NULL,NULL]",2
34,ça c'est mon cadeau . [media],"[NULL,NULL,NULL]",1
34,ça c'est mon cadeau . [media],"[NULL,NULL,NULL]",2
35,ouvrir comment comme ça ? [media],"[NULL,NULL,NULL]",1
35,ouvrir comment comme ça ? [media],"[NULL,NULL,NULL]",2
36,oui . [media],"[NULL,NULL,NULL]",1
36,oui . [media],"[NULL,NULL,NULL]",2
37,attends euh ... [media],"[NULL,NULL,NULL]",1
37,attends euh ... [media],"[NULL,NULL,NULL]",2
38,faut déchirer ? [media],"[NULL,NULL,NULL]",1
38,faut déchirer ? [media],"[NULL,NULL,NULL]",2
39,oui tu peux déchirer . [media],"[NULL,NULL,NULL]",1
39,oui tu peux déchirer . [media],"[NULL,NULL,NULL]",2
40,0. .,"[NULL,NULL,NULL]",1
40,0. .,"[NULL,NULL,NULL]",2
41,c'est le papier . [media],"[NULL,NULL,NULL]",1
41,c'est le papier . [media],"[NULL,NULL,NULL]",2
42,il est rigolo le papier . [media],"[NULL,NULL,NULL]",1
42,il est rigolo le papier . [media],"[NULL,NULL,NULL]",2
43,je sais pas si tu l'as déjà . si tu l'as déjà on peut changer . [media],"[NULL,NULL,NULL]",1
43,je sais pas si tu l'as déjà . si tu l'as déjà on peut changer . [media],"[NULL,NULL,NULL]",2
44,oh oh ! [media],"[NULL,NULL,NULL]",1
44,oh oh ! [media],"[NULL,NULL,NULL]",2
45,tu l'as pas \<None\> ?,"[NULL,NULL,NULL]",1
45,tu l'as pas \<None\> ?,"[NULL,NULL,NULL]",2
