ID,utterance,annotation-charlie,annotation-morgane,list-ID
2,viens là bonhomme ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
2,viens là bonhomme ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
3,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
3,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
4,attends trouve quelque chose ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
4,attends trouve quelque chose ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
5,trouve quelque chose pour moi ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
5,trouve quelque chose pour moi ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
6,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
6,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
7,pardon ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
7,pardon ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
8,c'est là où yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
8,c'est là où yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
9,pas là yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
9,pas là yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
10,Adrien tu montres les voitures que t'as ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
10,Adrien tu montres les voitures que t'as ? [media],"[PAR-Initiation:Non-Information-seeking,NULL,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
11,attends non veux les yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
11,attends non veux les yyy . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
12,xxx là-bas ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
12,xxx là-bas ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
13,t'en as combien des voitures ? [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
13,t'en as combien des voitures ? [media],"[PAR-Initiation:Information-seeking:fact-based ,Complex-long,NULL]","[PAR-Initiation:Information-seeking:fact-based ,Complex-long,NULL]",2
14,oh non Adrien xxx . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
14,oh non Adrien xxx . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
15,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
15,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
16,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
16,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
17,"Adrien , qu'est-ce qu'on dit ? [media]","[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
17,"Adrien , qu'est-ce qu'on dit ? [media]","[PAR-Initiation:Information-seeking:fact-based ,Complex-long,NULL]","[PAR-Initiation:Non-Information-seeking,NULL,NULL]",2
18,yyy j'ai pas roté en plus ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
18,yyy j'ai pas roté en plus ! [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
19,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
19,www . [media],"[NULL,NULL,NULL]","[NULL,NULL,NULL]",2
20,"allez , tu viens avec papa ? [media]","[NULL,NULL,NULL]","[NULL,NULL,NULL]",1
